UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
110705,"R",4597,"R",0,"R",4597,"R",3112,"R",68,"R",3833,"R",83,"Z",0,"R",4597,"R",56,"R",12,"R",3889,"R",85,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110714,"R",3295,"R",5,"R",3290,"R",1712,"R",52,"R",2468,"R",75,"R",0,"R",3290,"R",69,"R",14,"R",2537,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110875,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",32,"R",1,"R",31,"R",10,"R",32,"R",28,"R",90,"Z",0,"R",31,"R",0,"Z",0,"R",28,"R",90
110918,"R",1,"R",0,"R",1,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",1,"R",0,"Z",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111054,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",71,"R",0,"R",71,"R",6,"R",8,"R",35,"R",49,"Z",0,"R",71,"R",0,"Z",0,"R",35,"R",49
111081,"R",171,"R",0,"R",171,"R",92,"R",54,"R",105,"R",61,"Z",0,"R",171,"R",3,"R",0,"R",108,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111188,"R",199,"R",0,"R",199,"R",102,"R",51,"R",133,"R",67,"R",0,"R",199,"R",2,"R",1,"R",135,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111434,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",256,"R",0,"R",256,"R",44,"R",17,"R",88,"R",34,"R",0,"R",256,"R",13,"R",15,"R",101,"R",39
111461,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1486,"R",0,"R",1486,"R",282,"R",19,"R",626,"R",42,"R",0,"R",1486,"R",103,"R",100,"R",729,"R",49
111513,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",61,"R",0,"R",61,"R",49,"R",80,"R",49,"R",80,"R",0,"R",61,"R",1,"R",0,"R",50,"R",82
111708,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",134,"R",0,"R",134,"R",0,"R",0,"R",75,"R",56,"Z",0,"R",134,"R",1,"R",0,"R",76,"R",57
111717,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",167,"R",0,"R",167,"R",0,"R",0,"R",123,"R",74,"Z",0,"R",167,"R",0,"Z",0,"R",123,"R",74
111726,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",186,"R",0,"R",186,"R",0,"R",0,"R",171,"R",92,"Z",0,"R",186,"R",1,"R",0,"R",172,"R",92
111744,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",118,"R",0,"R",118,"R",0,"R",0,"R",84,"R",71,"Z",0,"R",118,"R",5,"Z",0,"R",89,"R",75
111762,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",68,"R",0,"R",68,"R",1,"R",1,"R",58,"R",85,"Z",0,"R",68,"R",1,"Z",0,"R",59,"R",87
111799,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",117,"R",0,"R",117,"R",0,"R",0,"R",90,"R",77,"Z",0,"R",117,"R",0,"Z",0,"R",90,"R",77
