UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
444370,"R",52,"Z",0,"R",52,"R",10,"R",32,"R",3,"R",0,"R",17,"R",44,"Z",0,"R",44,"R",31,"R",3,"Z",0,"R",3,"R",1,"R",5,"Z",0,"R",5,"R",0
444404,"R",39,"R",0,"R",39,"R",7,"R",27,"R",0,"R",4,"R",8,"R",37,"Z",0,"R",37,"R",27,"R",0,"Z",0,"R",0,"R",0,"R",2,"Z",0,"R",2,"R",0
444440,"R",15,"R",0,"R",15,"R",4,"R",9,"R",0,"R",1,"R",5,"R",13,"Z",0,"R",13,"R",7,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",1,"R",1
444468,"R",3,"Z",0,"R",3,"R",3,"R",3,"Z",0,"Z",0,"R",0,"R",3,"Z",0,"R",3,"R",3,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
444486,"R",46,"R",0,"R",46,"R",4,"R",31,"R",1,"R",2,"R",12,"R",31,"Z",0,"R",31,"R",19,"R",2,"Z",0,"R",2,"R",1,"R",13,"Z",0,"R",13,"R",11
444510,"R",21,"R",0,"R",21,"R",2,"R",10,"R",0,"R",0,"R",11,"R",17,"Z",0,"R",17,"R",8,"R",1,"Z",0,"R",1,"R",1,"R",3,"Z",0,"R",3,"R",1
444529,"R",72,"R",0,"R",72,"R",56,"R",62,"R",0,"R",0,"R",10,"R",44,"Z",0,"R",44,"R",36,"R",1,"Z",0,"R",1,"R",1,"R",27,"Z",0,"R",27,"R",25
444583,"R",436,"R",0,"R",436,"R",322,"R",375,"R",0,"R",0,"R",61,"R",410,"Z",0,"R",410,"R",357,"R",7,"Z",0,"R",7,"R",7,"R",19,"Z",0,"R",19,"R",11
444635,"R",10,"R",0,"R",10,"R",6,"R",8,"R",0,"R",0,"R",2,"R",6,"Z",0,"R",6,"R",6,"R",4,"Z",0,"R",4,"R",2,"R",0,"Z",0,"R",0,"R",0
444662,"R",99,"R",0,"R",99,"R",2,"R",21,"R",0,"R",0,"R",78,"R",6,"Z",0,"R",6,"R",1,"R",2,"Z",0,"R",2,"R",1,"R",91,"Z",0,"R",91,"R",19
