UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
105154,11,"R",7792,"R",5302,"R",433,"R",2057
105206, 1,"R",4782,"R",1251,"R",1785,"R",1746
105206, 2,"R",4782,"R",1251,"R",1785,"R",1746
105206, 3,"R",3099,"R",1097,"R",1421,"R",581
105206,11,"R",1683,"R",154,"R",364,"R",1165
105215, 1,"R",1263,"A",,"A",,"R",1263
105215, 2,"R",1263,"A",,"A",,"R",1263
105215,11,"R",1263,"A",,"A",,"R",1263
105297, 1,"R",1872,"R",1745,"R",127,"R",0
105297, 2,"R",1872,"R",1745,"R",127,"R",0
105297, 3,"R",1693,"R",1568,"R",125,"R",0
105297,11,"R",179,"R",177,"R",2,"R",0
105330, 1,"R",33349,"R",8196,"R",16977,"R",8176
105330, 2,"R",28044,"R",5737,"R",15812,"R",6495
105330, 3,"R",27333,"R",5187,"R",15784,"R",6362
105330,11,"R",711,"R",550,"R",28,"R",133
105330,12,"R",5305,"R",2459,"R",1165,"R",1681
105349, 1,"R",4622,"R",2991,"R",478,"R",1153
105349, 2,"R",4622,"R",2991,"R",478,"R",1153
105349, 3,"R",1702,"R",1341,"R",333,"R",28
105349,11,"R",2920,"R",1650,"R",145,"R",1125
105367, 1,"R",1382,"R",428,"R",953,"R",1
105367, 2,"R",550,"R",256,"R",293,"R",1
105367, 3,"R",536,"R",256,"R",279,"R",1
105367,11,"R",14,"R",0,"R",14,"R",0
105367,12,"R",832,"R",172,"R",660,"R",0
105428, 1,"R",14469,"R",10900,"R",2619,"R",950
105428, 2,"R",14469,"R",10900,"R",2619,"R",950
105428, 3,"R",10028,"R",7317,"R",2172,"R",539
105428,11,"R",4441,"R",3583,"R",447,"R",411
105525, 1,"R",32802,"R",23199,"R",3951,"R",5652
105525, 2,"R",32802,"R",23199,"R",3951,"R",5652
105525, 3,"R",21580,"R",17009,"R",3227,"R",1344
105525,11,"R",11222,"R",6190,"R",724,"R",4308
105534, 1,"R",3871,"R",2719,"R",54,"R",1098
105534, 2,"R",3871,"R",2719,"R",54,"R",1098
105534, 3,"R",3871,"R",2719,"R",54,"R",1098
105543, 1,"R",1364,"R",46,"R",0,"R",1318
105543, 2,"R",1364,"R",46,"R",0,"R",1318
105543, 3,"R",1364,"R",46,"R",0,"R",1318
105589, 1,"R",1330,"R",1009,"R",314,"R",7
105589, 2,"R",558,"R",244,"R",314,"R",0
105589, 3,"R",510,"R",197,"R",313,"R",0
105589,11,"R",48,"R",47,"R",1,"R",0
105589,12,"R",772,"R",765,"R",0,"R",7
105659, 1,"R",1591,"R",0,"R",79,"R",1512
105659, 2,"R",1591,"R",0,"R",79,"R",1512
105659, 3,"R",1591,"R",0,"R",79,"R",1512
105668, 1,"R",33734,"R",21172,"R",1679,"R",10883
105668, 2,"R",33734,"R",21172,"R",1679,"R",10883
105668, 3,"R",8638,"R",7224,"R",577,"R",837
105668,11,"R",25096,"R",13948,"R",1102,"R",10046
105677, 1,"R",45,"A",,"A",,"R",45
105677, 2,"R",45,"A",,"A",,"R",45
105677, 3,"C",45,"A",,"A",,"C",45
105747, 1,"R",11706,"R",8717,"R",1283,"R",1706
105747, 2,"R",11706,"R",8717,"R",1283,"R",1706
105747, 3,"R",7054,"R",5831,"R",1085,"R",138
105747,11,"R",4652,"R",2886,"R",198,"R",1568
105792, 1,"R",5205,"R",4343,"R",444,"R",418
105792, 2,"R",5205,"R",4343,"R",444,"R",418
105792, 3,"R",3093,"R",2707,"R",336,"R",50
105792,11,"R",2112,"R",1636,"R",108,"R",368
105899, 1,"R",1076,"R",51,"R",890,"R",135
105899, 2,"R",1076,"R",51,"R",890,"R",135
105899, 3,"R",1013,"R",46,"R",877,"R",90
105899,11,"R",63,"R",5,"R",13,"R",45
106041, 1,"R",2791,"A",,"A",,"R",2791
106041, 2,"R",2791,"A",,"A",,"R",2791
106041, 3,"R",2179,"A",,"A",,"R",2179
106041,11,"R",612,"A",,"A",,"R",612
106111, 1,"R",109,"A",,"A",,"R",109
106111, 2,"R",109,"A",,"A",,"R",109
106111, 3,"C",109,"A",,"A",,"C",109
106148, 1,"R",8393,"R",4817,"R",1255,"R",2321
106148, 2,"R",8393,"R",4817,"R",1255,"R",2321
106148, 3,"R",5179,"R",3788,"R",924,"R",467
106148,11,"R",3214,"R",1029,"R",331,"R",1854
106245, 1,"R",10955,"R",8482,"R",902,"R",1571
106245, 2,"R",8064,"R",6360,"R",740,"R",964
106245, 3,"R",6791,"R",6032,"R",736,"R",23
106245,11,"R",1273,"R",328,"R",4,"R",941
106245,12,"R",2891,"R",2122,"R",162,"R",607
106263, 1,"R",3241,"R",827,"R",1733,"R",681
106263, 2,"R",976,"R",484,"R",455,"R",37
106263, 3,"R",948,"R",458,"R",454,"R",36
106263,11,"R",28,"R",26,"R",1,"R",1
106263,12,"R",2265,"R",343,"R",1278,"R",644
106306, 1,"R",604,"A",,"A",,"R",604
106306, 2,"R",604,"A",,"A",,"R",604
106306, 3,"R",602,"A",,"A",,"R",602
106306,11,"R",2,"A",,"A",,"R",2
106315, 1,"R",240,"A",,"A",,"R",240
106315, 2,"R",240,"A",,"A",,"R",240
106315, 3,"C",240,"A",,"A",,"C",240
106324, 1,"R",74,"A",,"A",,"R",74
106324, 2,"R",74,"A",,"A",,"R",74
106324, 3,"C",74,"A",,"A",,"C",74
106342, 1,"R",688,"A",,"A",,"R",688
106342, 2,"R",688,"A",,"A",,"R",688
106342, 3,"R",679,"A",,"A",,"R",679
106342,11,"R",9,"A",,"A",,"R",9
106351, 1,"R",116,"A",,"A",,"R",116
106351, 2,"R",116,"A",,"A",,"R",116
106351, 3,"C",116,"A",,"A",,"C",116
106360, 1,"R",43,"A",,"A",,"R",43
106360, 2,"R",43,"A",,"A",,"R",43
106360, 3,"C",43,"A",,"A",,"C",43
106397, 1,"R",30349,"R",4830,"R",23718,"R",1801
106397, 2,"R",24793,"R",2604,"R",21194,"R",995
106397, 3,"R",24114,"R",2414,"R",21090,"R",610
106397,11,"R",679,"R",190,"R",104,"R",385
106397,12,"R",5556,"R",2226,"R",2524,"R",806
106412, 1,"R",2898,"R",112,"R",2486,"R",300
106412, 2,"R",2698,"R",85,"R",2328,"R",285
106412, 3,"R",2601,"R",68,"R",2305,"R",228
106412,11,"R",97,"R",17,"R",23,"R",57
106412,12,"R",200,"R",27,"R",158,"R",15
106449, 1,"R",3939,"R",1034,"R",1633,"R",1272
106449, 2,"R",3939,"R",1034,"R",1633,"R",1272
106449, 3,"R",2702,"R",722,"R",1451,"R",529
106449,11,"R",1237,"R",312,"R",182,"R",743
106458, 1,"R",18451,"R",9618,"R",6541,"R",2292
106458, 2,"R",10162,"R",2434,"R",6088,"R",1640
106458, 3,"R",9272,"R",2200,"R",5899,"R",1173
106458,11,"R",890,"R",234,"R",189,"R",467
106458,12,"R",8289,"R",7184,"R",453,"R",652
106467, 1,"R",12257,"R",4598,"R",5465,"R",2194
106467, 2,"R",11245,"R",3743,"R",5334,"R",2168
106467, 3,"R",8178,"R",2561,"R",5192,"R",425
106467,11,"R",3067,"R",1182,"R",142,"R",1743
106467,12,"R",1012,"R",855,"R",131,"R",26
106485, 1,"R",3293,"R",803,"R",1746,"R",744
106485, 2,"R",2748,"R",440,"R",1604,"R",704
106485, 3,"R",2360,"R",433,"R",1604,"R",323
106485,11,"R",388,"R",7,"R",0,"R",381
106485,12,"R",545,"R",363,"R",142,"R",40
106494, 1,"R",74,"A",,"A",,"R",74
106494, 2,"R",74,"A",,"A",,"R",74
106494, 3,"C",74,"A",,"A",,"C",74
106546, 1,"R",928,"R",0,"R",545,"R",383
106546, 2,"R",928,"R",0,"R",545,"R",383
106546, 3,"R",928,"R",0,"R",545,"R",383
106625, 1,"R",1980,"R",570,"R",811,"R",599
106625, 2,"R",1980,"R",570,"R",811,"R",599
106625, 3,"R",1607,"R",484,"R",691,"R",432
106625,11,"R",373,"R",86,"R",120,"R",167
106704, 1,"R",11834,"R",1932,"R",8407,"R",1495
106704, 2,"R",9613,"R",828,"R",7668,"R",1117
106704, 3,"R",8922,"R",694,"R",7611,"R",617
106704,11,"R",691,"R",134,"R",57,"R",500
106704,12,"R",2221,"R",1104,"R",739,"R",378
106713, 1,"R",693,"R",55,"R",638,"R",0
106713, 2,"R",693,"R",55,"R",638,"R",0
