UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
146278,"R",114,"R",4939547,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",98578,"R",11,"R",855103,"R",17,"R",658920,"R",14,"R",654346,"R",30,"R",1306580,"Z",0,"Z",0,"R",18,"R",621110,"R",1,"R",37595,"R",21,"R",707315,"Z",0,"Z",0,"Z",0,"Z",0
146296,"R",403,"R",25914687,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",89003,"R",16,"R",1971955,"R",39,"R",2311891,"R",51,"R",3565533,"R",118,"R",7853199,"Z",0,"Z",0,"R",95,"R",5672585,"R",11,"R",640968,"R",71,"R",3809553,"Z",0,"Z",0,"Z",0,"Z",0
146339,"R",104,"R",4710554,"R",1,"R",51600,"Z",0,"Z",0,"R",44,"R",1692215,"R",8,"R",849369,"R",6,"R",244483,"R",3,"R",157761,"R",17,"R",737952,"R",3,"R",133000,"R",6,"R",305920,"R",2,"R",80780,"R",14,"R",457474,"Z",0,"Z",0,"Z",0,"Z",0
146348,"R",141,"R",7916375,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",308551,"R",43,"R",3344101,"R",10,"R",432948,"R",9,"R",585980,"R",24,"R",1262707,"Z",0,"Z",0,"R",24,"R",971335,"R",1,"R",65729,"R",24,"R",945024,"Z",0,"Z",0,"Z",0,"Z",0
146366,"R",123,"R",6409398,"Z",0,"Z",0,"Z",0,"Z",0,"R",16,"R",688756,"R",23,"R",1740729,"R",23,"R",1030426,"R",12,"R",723397,"R",19,"R",993252,"Z",0,"Z",0,"R",21,"R",855817,"R",3,"R",108446,"R",6,"R",268575,"Z",0,"Z",0,"Z",0,"Z",0
146418,"R",128,"R",7609612,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",217155,"R",13,"R",1438568,"R",5,"R",326614,"R",13,"R",811560,"R",42,"R",2388913,"Z",0,"Z",0,"R",25,"R",1136545,"R",5,"R",246481,"R",22,"R",1043776,"Z",0,"Z",0,"Z",0,"Z",0
146427,"R",234,"R",11849032,"Z",0,"Z",0,"Z",0,"Z",0,"R",33,"R",1578672,"R",26,"R",2383572,"R",25,"R",1925227,"R",13,"R",696503,"R",30,"R",1342237,"R",4,"R",222865,"R",64,"R",2046151,"Z",0,"Z",0,"R",25,"R",994591,"R",14,"R",659214,"Z",0,"Z",0
146472,"R",527,"R",33801272,"Z",0,"Z",0,"Z",0,"Z",0,"R",58,"R",3706420,"R",58,"R",7083355,"R",57,"R",3231556,"R",53,"R",3983071,"R",105,"R",6176725,"Z",0,"Z",0,"R",98,"R",4892657,"R",26,"R",1337147,"R",72,"R",3390341,"Z",0,"Z",0,"Z",0,"Z",0
146481,"R",173,"R",12224976,"R",1,"R",61800,"Z",0,"Z",0,"R",29,"R",1721332,"R",38,"R",4449290,"R",11,"R",836299,"R",11,"R",699212,"R",35,"R",2021826,"R",6,"R",310937,"R",7,"R",390745,"Z",0,"Z",0,"R",26,"R",1159276,"R",7,"R",443310,"R",2,"R",130949
146490,"R",37,"R",3467308,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",1382617,"R",20,"R",1381826,"R",2,"R",210132,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",434129,"Z",0,"Z",0,"R",1,"R",58604,"Z",0,"Z",0
